id,property_incident_id,subject_id,relationship,data,created_at,updated_at
161,6723,152,purchased,"{""source_relationship"":""acquired_via_tax_foreclosure""}",2026-07-13 14:13:04 -0400,2026-07-22 18:40:05 -0400
162,6724,1,purchased,{},2026-07-13 14:13:04 -0400,2026-07-13 14:13:04 -0400
163,5011,1,purchased,"{""source_relationship"":""acquired_property""}",2026-07-13 14:13:04 -0400,2026-07-22 18:33:45 -0400
164,4991,68,location_of_incident,{},2026-07-13 14:13:13 -0400,2026-07-13 14:13:13 -0400
165,4991,179,died_at,{},2026-07-13 14:13:14 -0400,2026-07-13 14:13:14 -0400
166,4991,180,died_at,"{""source_relationship"":""examined_deceased""}",2026-07-13 14:13:14 -0400,2026-07-22 18:35:00 -0400
167,4991,181,mentioned_in,{},2026-07-13 14:13:14 -0400,2026-07-13 14:13:14 -0400
168,5453,68,mentioned_in,{},2026-07-13 14:13:14 -0400,2026-07-13 14:13:14 -0400
169,4992,182,subject_of,"{""source_relationship"":""obituary_subject""}",2026-07-13 14:13:14 -0400,2026-07-22 18:37:28 -0400
170,4992,183,mentioned_in,{},2026-07-13 14:13:14 -0400,2026-07-13 14:13:14 -0400
171,4992,184,lived_at,"{""source_relationship"":""resided_at""}",2026-07-13 14:13:14 -0400,2026-07-22 18:36:56 -0400
172,5454,184,lived_at,"{""source_relationship"":""resided_at""}",2026-07-13 14:13:14 -0400,2026-07-22 18:36:56 -0400
173,4993,185,listed_in,"{""source_relationship"":""listed_rental_at""}",2026-07-13 14:13:14 -0400,2026-07-22 18:36:34 -0400
174,5530,162,owned,"{""source_relationship"":""held_as_part_of_assemblage""}",2026-07-13 14:13:14 -0400,2026-07-22 18:34:39 -0400
175,5530,163,owned,"{""source_relationship"":""held_as_part_of_assemblage""}",2026-07-13 14:13:14 -0400,2026-07-22 18:34:39 -0400
176,5530,122,mentioned_in,{},2026-07-13 14:13:14 -0400,2026-07-13 14:13:14 -0400
177,5530,1,mentioned_in,{},2026-07-13 14:13:14 -0400,2026-07-13 14:13:14 -0400
178,5013,1,purchased,"{""source_relationship"":""acquired""}",2026-07-13 14:13:14 -0400,2026-07-22 18:37:09 -0400
179,5012,1,purchased,"{""source_relationship"":""acquired""}",2026-07-13 14:13:14 -0400,2026-07-22 18:37:09 -0400
180,4995,186,died_at,{},2026-07-13 14:13:31 -0400,2026-07-13 14:13:31 -0400
